"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"238290701","2021-12-24T00:00:00.000","20:25:00","BRONX",,"52","0",,,"false",,,,"25-44","M","BLACK","1013734","254081","40.86402732400006","-73.89340651099997","POINT (-73.89340651099997 40.86402732400006)"
"238290700","2021-12-24T00:00:00.000","10:27:00","MANHATTAN",,"32","0",,,"false","18-24","M","BLACK","25-44","M","BLACK","993628","231585","40.80232653100006","-73.96612814599996","POINT (-73.96612814599996 40.80232653100006)"
"238291449","2021-12-24T00:00:00.000","23:53:00","BROOKLYN",,"71","0",,,"false",,,,"25-44","M","BLACK","997886","180734","40.662747508000045","-73.95085131599996","POINT (-73.95085131599996 40.662747508000045)"
"238291449","2021-12-24T00:00:00.000","23:53:00","BROOKLYN",,"71","0",,,"false",,,,"45-64","M","BLACK","997886","180734","40.662747508000045","-73.95085131599996","POINT (-73.95085131599996 40.662747508000045)"
"238238212","2021-12-23T00:00:00.000","04:05:00","QUEENS",,"114","0",,"BAR/NIGHT CLUB","true",,,,"25-44","F","WHITE HISPANIC","1009215","219725","40.769743719000076","-73.90987205399993","POINT (-73.90987205399993 40.769743719000076)"
"238238212","2021-12-23T00:00:00.000","04:05:00","QUEENS",,"114","0",,"BAR/NIGHT CLUB","false",,,,"25-44","M","BLACK","1009215","219725","40.769743719000076","-73.90987205399993","POINT (-73.90987205399993 40.769743719000076)"
"238238212","2021-12-23T00:00:00.000","04:05:00","QUEENS",,"114","0",,"BAR/NIGHT CLUB","false",,,,"25-44","F","BLACK","1009215","219725","40.769743719000076","-73.90987205399993","POINT (-73.90987205399993 40.769743719000076)"
"238238212","2021-12-23T00:00:00.000","04:05:00","QUEENS",,"114","0",,"BAR/NIGHT CLUB","true",,,,"25-44","F","BLACK","1009215","219725","40.769743719000076","-73.90987205399993","POINT (-73.90987205399993 40.769743719000076)"
"238254441","2021-12-23T00:00:00.000","23:23:00","BRONX",,"45","2",,"MULTI DWELL - PUBLIC HOUS","false",,,,"25-44","M","BLACK","1032930","239207","40.82311764100007","-73.82411439699997","POINT (-73.82411439699997 40.82311764100007)"
"238238212","2021-12-23T00:00:00.000","04:05:00","QUEENS",,"114","0",,"BAR/NIGHT CLUB","false",,,,"25-44","F","WHITE HISPANIC","1009215","219725","40.769743719000076","-73.90987205399993","POINT (-73.90987205399993 40.769743719000076)"
"238238212","2021-12-23T00:00:00.000","04:05:00","QUEENS",,"114","0",,"BAR/NIGHT CLUB","true",,,,"25-44","M","BLACK","1009215","219725","40.769743719000076","-73.90987205399993","POINT (-73.90987205399993 40.769743719000076)"
"238210279","2021-12-22T00:00:00.000","23:17:00","BRONX",,"49","0",,,"true","25-44","M","WHITE HISPANIC","25-44","M","BLACK","1021438","252793","40.86046306400005","-73.86556104899995","POINT (-73.86556104899995 40.86046306400005)"
"238168511","2021-12-22T00:00:00.000","03:11:00","BROOKLYN",,"75","0",,,"false",,,,"25-44","M","BLACK","1014592","182832","40.668464561000064","-73.89062616399997","POINT (-73.89062616399997 40.668464561000064)"
"238209823","2021-12-22T00:00:00.000","20:04:00","MANHATTAN",,"26","0",,"HOSPITAL","false",,,,"<18","M","BLACK","994831","232862","40.80583018700002","-73.96178090099994","POINT (-73.96178090099994 40.80583018700002)"
"238209824","2021-12-22T00:00:00.000","20:04:00","MANHATTAN",,"23","0",,,"false","<18","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC","998862","227442","40.79094801600007","-73.94723197299999","POINT (-73.94723197299999 40.79094801600007)"
